date,forecast,lower_95,upper_95
2017-08-16,779787.94,698195.63,920770.08
2017-08-17,684058.9,546415.18,907175.56
2017-08-18,770566.06,664912.82,943088.45
2017-08-19,906907.8,794478.07,1097882.2
2017-08-20,994185.6,861140.08,1134159.23
2017-08-21,758091.75,657349.04,943942.26
2017-08-22,732704.2,660266.5,896563.04
2017-08-23,759967.6,634945.34,957265.9
2017-08-24,660865.3,563660.4,860656.37
2017-08-25,764453.44,664206.48,994561.51
2017-08-26,903029.5,752096.08,1095343.2
2017-08-27,980751.1,829235.8,1133587.82
2017-08-28,758625.1,666284.05,922259.02
2017-08-29,726453.44,625710.91,946749.17
2017-08-30,764246.2,628231.32,998977.95
2017-08-31,691659.8,558912.22,880222.29
